,ntaxa,mntd.obs,mntd.rand.mean,mntd.rand.sd,mntd.obs.rank,mntd.obs.z,mntd.obs.p,runs
1-samo1_S1,336,0.0384804113003739,0.0783541598391079,0.017047154694913,1,-2.33902661484222,0.001,999
10-samo10_S10,363,0.0558666471326915,0.0747032810709412,0.0194006781845122,108,-0.970926570664275,0.108,999
11-samo11_S11,275,0.0392024853687085,0.0895405422238469,0.0191837651576566,1,-2.62399255002596,0.001,999
2-samo2_S2,242,0.0406473925271193,0.0981177034406846,0.022365486214079,1,-2.56959810144382,0.001,999
4-samo4_S4,237,0.0299279632465544,0.0990348228435173,0.0203643770942077,1,-3.39351698690647,0.001,999
44-samo44_S44,321,0.031877844,0.0815233917637638,0.0299940649954848,1,-1.65517904196171,0.001,999
45-samo45_S45,421,0.0332907282343369,0.0676021257425041,0.0123364214773047,1,-2.78130879131276,0.001,999
5-samo5_S5,239,0.0491050116189001,0.0985377106541088,0.0226689836304284,1,-2.18063146725536,0.001,999
53-samo53_S53,341,0.0324444439918534,0.0783597296889558,0.0139889631746608,1,-3.28225080900005,0.001,999
55-samo55_S55,401,0.0626617753177532,0.0710199120768985,0.014338302005893,288,-0.58292374897043,0.288,999
56-samo56_S56,280,0.0485246302003082,0.0886588728134915,0.0240381171501613,4,-1.66960841244232,0.004,999
57_S54,393,0.0427914796944109,0.071579379097634,0.0108191941521985,1,-2.66081733983611,0.001,999
57-samo57_S57,309,0.250494044409199,0.0800055757144932,0.0546891870782417,981,3.11740725732117,0.981,999
58-samo58_S58,349,0.0738166364011556,0.0767530275591316,0.0198326560202002,511,-0.148058391926183,0.511,999
59_S55,363,0.0522791888570258,0.0756954224400558,0.018508122269406,35,-1.26518688617792,0.035,999
59-samo59_S59,302,0.0517394457831325,0.084578731792033,0.0195112336749444,12,-1.68309634111304,0.012,999
6-samo6_S6,285,0.0366174198654531,0.0893374728428468,0.0251863570431398,1,-2.09319882534396,0.001,999
61-samo61_S61,321,0.0287923464998045,0.0808592560061039,0.021444569378768,1,-2.42797645346286,0.001,999
66-samo66_S66,325,0.0436279641434263,0.08122200323431,0.0176904167453344,2,-2.12510760102917,0.002,999
67-samo67_S67,340,0.0478795816733068,0.0782759478562228,0.0138968223535082,3,-2.18728896503757,0.003,999
68-samo68_S68,239,0.0469059182879377,0.098046877153418,0.0305079094739178,2,-1.67631803513782,0.002,999
69_S63,212,0.0232222950819672,0.105348384900341,0.0362924624441134,1,-2.26289659856613,0.001,999
69-samo69_S69,322,0.0305754732673267,0.0812477023082488,0.0162202297532969,1,-3.12401425945415,0.001,999
7-samo7_S7,295,0.027767484375,0.0868686191308496,0.0218968674102475,1,-2.69906802870766,0.001,999
8-samo8_S8,327,0.04039397807361,0.0810773210367768,0.0159244353242785,1,-2.55477460485777,0.001,999
9-samo9_S9,279,0.0252266424196018,0.0896431790787725,0.0213144417247535,1,-3.02220144871825,0.001,999
